÷ÿ∫œ∂»,precision,recall,f1,time
0.2,0.7664,0.8729,0.8162,3948
0.4,0.894,0.8623,0.8779,3534
0.6,0.9401,0.8603,0.8984,3023
0.8,0.9674,0.8851,0.9244,3110
1,0.9798,0.8751,0.9245,3430
