÷ÿ∫œ∂»,precision,recall,f1,time
0.2,0.301,0.8732,0.4477,3126
0.4,0.4547,0.8549,0.5936,4636
0.6,0.5658,0.8382,0.6756,6491
0.8,0.658,0.8523,0.7427,9270
1.0,0.7363,0.8329,0.7816,13417
