÷ÿ∫œ∂»,precision,recall,f1,time
0.2,0.7667,0.8725,0.8161,4844
0.4,0.8929,0.8612,0.8768,5266
0.6,0.9391,0.8595,0.8975,5769
0.8,0.9665,0.8843,0.9236,6664
1,0.9787,0.8744,0.9236,8553
