name,longitude,latitude,phone,address,district,city,area,zipcodetype,datatype,date,creator,source,index
滇洪酸菜猪脚,102.72981,25.08599,,,,,,,,,,,3,10386
宜香缘,102.73064000000001,25.0851,,,,,,,,,,,3,9026
建水烧烤鸡脚王,102.73170999999999,25.08544,,,,,,,,,,,3,6105
爱尚避风塘罗丈村店,102.73083000000001,25.085820000000002,,,,,,,,,,,3,8744
蜀一蜀二特色面,102.73085,25.085379999999997,,,,,,,,,,,3,9297
贵州特色早点羊肉米线,102.73144,25.08577,,,,,,,,,,,3,10068
重庆香鱼府干锅鸡NO．6,102.73116,25.08579,,,,,,,,,,,3,10089
鑫华源饭店,102.7309,25.085479999999997,,,,,,,,,,,3,10154
指觉造型,102.7316,25.08577,,,,,,,,,,,3,17206
建水烧烤鸡脚王,102.73170999999999,25.08524,,,,,,,,,,,3,18872
爱尚避风塘罗丈村店,102.73083000000001,25.085620000000002,,,,,,,,,,,3,21511
蜀一蜀二特色面,102.73085,25.085179999999998,,,,,,,,,,,3,22064
贵州特色早点羊肉米线,102.73144,25.08557,,,,,,,,,,,3,22835
重庆香鱼府干锅鸡NO．6,102.73116,25.08559,,,,,,,,,,,3,22856
鑫华源饭店,102.7309,25.085279999999997,,,,,,,,,,,3,22921
小小饮吧,102.73095,25.08597,,,,,,,,,,,3,25534
指觉造型,102.7316,25.08557,,,,,,,,,,,3,29973
金色幼儿园,102.730784,25.085665,,,,,,,,,,,3,44275
李记铺盖面,102.7306,25.08505,,,,,,,,,,,3,14301
花溪昊泽牛肉米线NO．2,102.73064000000001,25.08556,,,,,,,,,,,3,14681
聚芳园小吃,102.73058,25.08504,,,,,,,,,,,3,15168
宜香缘,102.73064000000001,25.0849,,,,,,,,,,,3,21793
李记铺盖面,102.7306,25.08485,,,,,,,,,,,3,27068
花溪昊泽牛肉米线NO．2,102.73064000000001,25.08536,,,,,,,,,,,3,27448
聚芳园小吃,102.73058,25.08484,,,,,,,,,,,3,27935
景洲医院,102.730876,25.084893,,,,,,,,,,,3,36390
明通小学金色校区,102.730535,25.085307,,,,,,,,,,,3,44072
滇洪酸菜猪脚,102.72981,25.08579,,,,,,,,,,,3,23153
天翔中医理疗,102.729427,25.08651,,,,,,,,,,,3,35705
李映熙中医诊所,102.729439,25.085967999999998,,,,,,,,,,,3,38081
