name,longitude,latitude,phone,address,district,city,area,zipcodetype,datatype,date,creator,source,index
长春饮食管理有限公司鼓楼分店,102.71719,25.05117,,,,,,,,,,,3,14500
云南省人民政府,102.716228,25.05162,,,,,,,,,,,1,961
重庆小辣椒火锅,102.716227,25.050410999999997,,,,,,,,,,,1,662
五华体育馆,102.71600000000001,25.051009,,,,,,,,,,,1,1776
天空之城动漫电玩世界,102.71614699999999,25.05003,,,,,,,,,,,1,1959
芒市傣家,102.716766,25.050245,,,,,,,,,,,1,2540
达鲁萨兰 华山南路店,102.716227,25.050410999999997,,,,,,,,,,,1,4287
弥勒竹园卤鸡卷粉圆通店,102.71625,25.050279999999997,,,,,,,,,,,3,11932
弥勒竹园卤鸡卷粉圆通店,102.71625,25.050079999999998,,,,,,,,,,,3,24699
漂流瓶网吧,102.71629,25.049960000000002,,,,,,,,,,,3,31433
魅力雅典发型设计,102.71597,25.05111,,,,,,,,,,,3,31605
欣忆旅社,102.71598,25.05105,,,,,,,,,,,3,39065
昆明市第十一幼儿园,102.717136,25.050647,,,,,,,,,,,3,43613
重庆小辣椒火锅,102.716227,25.050610999999996,,,,,,,,,,,1,47861
五华体育馆,102.71600000000001,25.051209,,,,,,,,,,,1,48975
天空之城动漫电玩世界,102.71614699999999,25.05023,,,,,,,,,,,1,49158
高黎贡山国家级自然保护区,102.71635400000001,25.051612,,,,,,,,,,,1,3979
盘龙李菊诊所,102.71598,25.051335,,,,,,,,,,,3,37990
云南省人民政府,102.716228,25.05182,,,,,,,,,,,1,48160
鸿欣昭通天麻火腿鸡,102.71774,25.05188,,,,,,,,,,,3,24246
长春饮食管理有限公司鼓楼分店,102.71719,25.05097,,,,,,,,,,,3,27267
林萌网络,102.71763,25.051370000000002,,,,,,,,,,,3,32415
乐泰电子游戏室,102.71727,25.05104,,,,,,,,,,,3,33814
