name,longitude,latitude,source,index
服务区－西园2加油站,102.655856,24.901133,3,5724
晋宁服务区－田心（B）加油站,102.579838,24.677591,3,5725
加油站,103.179467,26.096343,3,5726
加油站,102.795522,25.035327,3,5727
加油站,103.371684,24.868988,3,5728
菊花村加油站,102.741821,25.026744,3,5729
小窑加油站,102.912271,24.674834,3,5730
加油站,103.552649,24.933576,3,5731
加油站,102.621326,25.006933,3,5732
西桥服务区－西桥加油站A,103.627512,24.99665,3,5733
加油站,102.792873,24.801228,3,5734
加油站,103.072064,25.31743,3,5735
河口乡农机加油站,103.38441,25.634129,3,5736
高新加油站,102.670275,25.055576,3,5737
中海加油站,103.260474,25.708215,3,5739
九龙加油站,102.800955,25.747511,3,5740
加油站,102.556272,24.511169,3,5741
加油站,103.373029,25.99192,3,5742
读书铺服务区－读书铺A加油站,102.557092,24.951115,3,5743
龙腾加油站,102.778214,25.634599,3,5745
嵩明太平加油站,103.04657,25.284407,3,5746
汤丹加油站,103.069011,26.189944,3,5747
法者农机加油站,103.019879,26.023266,3,5749
加油站,103.604168,24.661814,3,5750
玉溪兴达加油站,102.549779,24.42262,3,5751
加油站,102.765533,25.109282,3,5752
广福路加油站B站,102.688779,24.985,3,5753
加油站,102.563868,24.949657,3,5754
云大西路加油站,102.786719,24.977444,3,5755
昌达加油站,102.726209,25.097461,3,5756
东风加油站,102.739328,25.03855,3,5757
黄土坡加油站,102.669564,25.065218,3,5758
加油站,102.770664,25.020801,3,5759
加油站,102.910066,25.07799,3,5761
和平加油站,103.2539,25.544883,3,5762
加油站,102.736232,25.007135,3,5763
加油站,102.500592,24.92326,3,5764
民航加油站,102.742369,24.999632,3,5765
双龙桥加油站,102.718619,25.024271,3,5766
长坡兴苑加油站,102.650031,25.038324,3,5767
麻园加油站,102.680212,25.055587,3,5768
茂光加油站,102.71615,25.082649,3,5769
马龙农机加油站,103.502364,25.474576,3,5770
加油站,102.768663,24.96393,3,5771
超达石油,102.233382,24.816609,3,5772
加油站,102.789117,25.038935,3,5773
农机加油站,102.98481,25.830918,3,5774
加油站,102.749964,25.015763,3,5775
双龙加油站,102.78242,25.087243,3,5776
加油站,102.771936,25.03072,3,5777
