name,longitude,latitude,phone,address,district,city,area,zipcodetype,datatype,date,creator,source,index
滇洪酸菜猪脚,102.72981,25.08599,,,,,,,,,,,3,10386
宜香缘,102.73064000000001,25.0851,,,,,,,,,,,3,9026
建水烧烤鸡脚王,102.73170999999999,25.08544,,,,,,,,,,,3,6105
爱尚避风塘罗丈村店,102.73083000000001,25.085820000000002,,,,,,,,,,,3,8744
蜀一蜀二特色面,102.73085,25.085379999999997,,,,,,,,,,,3,9297
贵州特色早点羊肉米线,102.73144,25.08577,,,,,,,,,,,3,10068
重庆香鱼府干锅鸡NO．6,102.73116,25.08579,,,,,,,,,,,3,10089
鑫华源饭店,102.7309,25.085479999999997,,,,,,,,,,,3,10154
指觉造型,102.7316,25.08577,,,,,,,,,,,3,17206
景洲医院,102.730876,25.085093,,,,,,,,,,,3,23623
建水烧烤鸡脚王,102.73170999999999,25.08524,,,,,,,,,,,3,25965
爱尚避风塘罗丈村店,102.73083000000001,25.085620000000002,,,,,,,,,,,3,28604
蜀一蜀二特色面,102.73085,25.085179999999998,,,,,,,,,,,3,29157
贵州特色早点羊肉米线,102.73144,25.08557,,,,,,,,,,,3,29928
重庆香鱼府干锅鸡NO．6,102.73116,25.08559,,,,,,,,,,,3,29949
鑫华源饭店,102.7309,25.085279999999997,,,,,,,,,,,3,30014
小小饮吧,102.73095,25.08597,,,,,,,,,,,3,32627
指觉造型,102.7316,25.08557,,,,,,,,,,,3,37066
金色幼儿园,102.730784,25.085665,,,,,,,,,,,3,51368
李记铺盖面,102.7306,25.08505,,,,,,,,,,,3,14301
花溪昊泽牛肉米线NO．2,102.73064000000001,25.08556,,,,,,,,,,,3,14681
聚芳园小吃,102.73058,25.08504,,,,,,,,,,,3,15168
魅俐莱发艺连锁,102.73024000000001,25.08446,,,,,,,,,,,3,19668
宜香缘,102.73064000000001,25.0849,,,,,,,,,,,3,28886
李记铺盖面,102.7306,25.08485,,,,,,,,,,,3,34161
花溪昊泽牛肉米线NO．2,102.73064000000001,25.08536,,,,,,,,,,,3,34541
聚芳园小吃,102.73058,25.08484,,,,,,,,,,,3,35028
景洲医院,102.730876,25.084893,,,,,,,,,,,3,43483
明通小学金色校区,102.730535,25.085307,,,,,,,,,,,3,51165
龙头街回族馆罗丈村分店,102.72994,25.087329999999998,,,,,,,,,,,3,10258
龚氏福生园酸笋鸡,102.73016,25.08814,,,,,,,,,,,3,14666
天翔中医理疗,102.729427,25.08671,,,,,,,,,,,3,22938
龙头街回族馆罗丈村分店,102.72994,25.08713,,,,,,,,,,,3,30118
龚氏福生园酸笋鸡,102.73016,25.08794,,,,,,,,,,,3,34526
云南韩国国际学校,102.730367,25.087308,,,,,,,,,,,3,52532
滇洪酸菜猪脚,102.72981,25.08579,,,,,,,,,,,3,30246
天翔中医理疗,102.729427,25.08651,,,,,,,,,,,3,42798
李映熙中医诊所,102.729439,25.085967999999998,,,,,,,,,,,3,45174
