name,longitude,latitude,phone,address,district,city,area,zipcodetype,datatype,date,creator,source,index
瑶芳专业祛痘白云路旗舰店,102.7191,25.06712,,,,,,,,,,,3,19312
新肌肤健康美容会所女人心店,102.71938,25.06705,,,,,,,,,,,3,20512
金利足浴休闲会所,102.7184,25.06636,,,,,,,,,,,3,17486
创缘艺国际美发会所,102.71861,25.0663,,,,,,,,,,,3,21914
温莎KTV量贩,102.7178,25.06727,,,,,,,,,,,3,15840
保利国际影城,102.7178,25.06727,,,,,,,,,,,3,20633
新迎传统豆花米线万华分店,102.71776,25.065649999999998,,,,,,,,,,,3,8365
比家香,102.71757,25.06513,,,,,,,,,,,3,9693
腾冲特色饵丝店,102.71768,25.06546,,,,,,,,,,,3,13668
祥和悦养生堂,102.71817,25.06642,,,,,,,,,,,3,14323
福林堂君利国药店,102.718179,25.066449,,,,,,,,,,,3,22895
新迎传统豆花米线万华分店,102.71776,25.06545,,,,,,,,,,,3,28225
比家香,102.71757,25.06493,,,,,,,,,,,3,29553
腾冲特色饵丝店,102.71768,25.065260000000002,,,,,,,,,,,3,33528
祥和悦养生堂,102.71817,25.06622,,,,,,,,,,,3,34183
金利足浴休闲会所,102.7184,25.06616,,,,,,,,,,,3,37346
创缘艺国际美发会所,102.71861,25.0661,,,,,,,,,,,3,41774
福林堂君利国药店,102.718179,25.066249,,,,,,,,,,,3,42755
盘龙段氏口腔诊所,102.717968,25.065979000000002,,,,,,,,,,,3,44471
东骏药业公司东骏大药房万华路连锁店,102.717935,25.065847,,,,,,,,,,,3,45619
温莎KTV量贩,102.7178,25.06707,,,,,,,,,,,3,35700
保利国际影城,102.7178,25.06707,,,,,,,,,,,3,40493
云南省中西医结合医院,102.718577,25.067511,,,,,,,,,,,3,44578
盘龙区联盟金江路社区卫生服务中心,102.718577,25.067511,,,,,,,,,,,3,45378
招商银行ATM,102.71824000000001,25.06758,,,,,,,,,,,3,53327
瑶芳专业祛痘白云路旗舰店,102.7191,25.06692,,,,,,,,,,,3,39172
新肌肤健康美容会所女人心店,102.71938,25.06685,,,,,,,,,,,3,40372
昆明市盘龙区法院执行局,102.71915899999999,25.067328,,,,,,,,,,,3,49273
