name,longitude,latitude,phone,address,district,city,area,zipcodetype,datatype,date,creator,source,index
杨角小厨,102.70108,25.024729999999998,,,,,,,,,,,3,5623
永飞家常菜,102.70106,25.02486,,,,,,,,,,,3,7631
德宏木瓜鸡,102.70106,25.02481,,,,,,,,,,,3,11095
风味农家园,102.70108,25.02476,,,,,,,,,,,3,11096
兰州牛肉拉面,102.70108,25.02466,,,,,,,,,,,3,11097
江川三道菜 滇池店,102.70064599999999,25.023845,,,,,,,,,,,1,3535
方舟大酒店,102.70089499999999,25.023791,,,,,,,,,,,1,4059
博鏊个旧团山小黄牛米线,102.70059,25.02326,,,,,,,,,,,3,6750
味蒸湘快餐店,102.70056,25.02339,,,,,,,,,,,3,12173
福建沙县特色小吃,102.70108,25.024549999999998,,,,,,,,,,,3,14291
云南省第94职业技能鉴定所,102.70014599999999,25.024328,,,,,,,,,,,3,29639
云南省产品质量监督检验研究院,102.700579,25.023587,,,,,,,,,,,3,31474
杨角小厨,102.70108,25.02453,,,,,,,,,,,3,35412
博鏊个旧团山小黄牛米线,102.70059,25.02306,,,,,,,,,,,3,36539
永飞家常菜,102.70106,25.02466,,,,,,,,,,,3,37420
德宏木瓜鸡,102.70106,25.02461,,,,,,,,,,,3,40884
风味农家园,102.70108,25.02456,,,,,,,,,,,3,40885
兰州牛肉拉面,102.70108,25.02446,,,,,,,,,,,3,40886
味蒸湘快餐店,102.70056,25.02319,,,,,,,,,,,3,41962
福建沙县特色小吃,102.70108,25.02435,,,,,,,,,,,3,44080
张鑫羊肉米线NO．12,102.70108,25.02449,,,,,,,,,,,3,44456
云南省第94职业技能鉴定所,102.70014599999999,25.024128,,,,,,,,,,,3,59428
云南省产品质量监督检验研究院,102.700579,25.023387,,,,,,,,,,,3,61263
江川三道菜 滇池店,102.70064599999999,25.024045,,,,,,,,,,,1,67756
方舟大酒店,102.70089499999999,25.023991,,,,,,,,,,,1,68280
张鑫羊肉米线NO．12,102.70108,25.02469,,,,,,,,,,,3,14667
和木养生馆中央丽城店,102.70142,25.02497,,,,,,,,,,,3,16407
和木养生馆中央丽城店,102.70142,25.02477,,,,,,,,,,,3,46196
