name,longitude,latitude,phone,address,district,city,area,zipcodetype,datatype,date,creator,source,index
发裁轩美发沙龙,102.78871,24.97781,,,,,,,,,,,3,17532
豆鑫面食,102.78854,24.978939999999998,,,,,,,,,,,3,7685
曦和雅居蒸菜馆,102.78905,24.97843,,,,,,,,,,,3,11206
大理风味小吃,102.78909,24.97821,,,,,,,,,,,3,11207
重庆老姐鲜面馆,102.78909,24.97825,,,,,,,,,,,3,13885
开远土鸡米线,102.78907,24.97831,,,,,,,,,,,3,14387
贵州羊肉米线,102.78815999999999,24.978460000000002,,,,,,,,,,,3,14407
绿岛酒吧,102.78818000000001,24.97853,,,,,,,,,,,3,16936
诗美诗格美颜养生馆,102.78809,24.97818,,,,,,,,,,,3,17431
和木养生馆云大知城分店,102.78851999999999,24.978879999999997,,,,,,,,,,,3,19385
标榜美业,102.7883,24.97812,,,,,,,,,,,3,20558
舒然美容养生会所,102.78811999999999,24.97832,,,,,,,,,,,3,20867
豆鑫面食,102.78854,24.97874,,,,,,,,,,,3,37474
曦和雅居蒸菜馆,102.78905,24.97823,,,,,,,,,,,3,40995
贵州羊肉米线,102.78815999999999,24.978260000000002,,,,,,,,,,,3,44196
绿岛酒吧,102.78818000000001,24.97833,,,,,,,,,,,3,46725
和木养生馆云大知城分店,102.78851999999999,24.978679999999997,,,,,,,,,,,3,49174
家乡菜后花园NO．3,102.78874,24.97641,,,,,,,,,,,3,8436
老火腿农家菜坊,102.78979,24.97615,,,,,,,,,,,3,5967
鑫香川菜馆,102.78973,24.97589,,,,,,,,,,,3,6534
蘸水罗非鱼,102.79001,24.97652,,,,,,,,,,,3,7361
金竹源,102.78954,24.97535,,,,,,,,,,,3,7513
富源酸汤猪脚腊脚庄,102.78953,24.976039999999998,,,,,,,,,,,3,8166
农家土菜馆,102.78973,24.97617,,,,,,,,,,,3,9340
德和乌鱼火锅,102.78967,24.97586,,,,,,,,,,,3,9803
昇鑫建水鸡脚王,102.78925,24.975929999999998,,,,,,,,,,,3,10444
丽江乡村腊排骨,102.79051,24.97666,,,,,,,,,,,3,10792
乡锅农庄,102.78886999999999,24.97615,,,,,,,,,,,3,11265
伊香园,102.78896,24.975939999999998,,,,,,,,,,,3,11266
小金牛野菜馆,102.79024,24.97627,,,,,,,,,,,3,11702
红河干锅旱鸭,102.79038,24.97663,,,,,,,,,,,3,11774
富源酸菜猪脚火锅美食连锁店,102.78952,24.9758,,,,,,,,,,,3,11824
寻甸聚鑫园,102.78941999999999,24.97554,,,,,,,,,,,3,11844
酸萝卜乌江鱼庄,102.78893000000001,24.97601,,,,,,,,,,,3,12203
合兴园农家乐,102.7896,24.97605,,,,,,,,,,,3,12419
谭氏重庆晶石火锅NO．28,102.7894,24.976,,,,,,,,,,,3,12530
小小川菜园,102.78936,24.97576,,,,,,,,,,,3,14152
云龙火锅小炒馆,102.79018,24.97631,,,,,,,,,,,3,15287
静心阁足疗,102.79021,24.97601,,,,,,,,,,,3,17081
翠仙足疗按摩木桶泡澡,102.79028000000001,24.97661,,,,,,,,,,,3,19610
