name,longitude,latitude,phone,address,district,city,area,zipcodetype,datatype,date,creator,source,index
太和南窑社区卫生站,102.71946700000001,25.021041,,,,,,,,,,,3,24494
昆明小锅米线,102.71993,25.02186,,,,,,,,,,,3,5670
蒸菜馆,102.71994000000001,25.02192,,,,,,,,,,,3,5884
永丰农家园NO．2,102.71988,25.02221,,,,,,,,,,,3,7774
伊回园(采莲路),102.720823,25.021376999999998,,,,,,,,,,,1,1380
老滇过桥米线,102.72095920000001,25.02139054,,,,,,,,,,,1,2721
红叶日本料理,102.7206874,25.02053708,,,,,,,,,,,1,3713
慵懒时光茶餐,102.72091999999999,25.02189,,,,,,,,,,,3,8300
昆明锦江大酒店－旋宫自助餐厅,102.72057,25.02084,,,,,,,,,,,3,8691
福照楼锦江分店,102.72062,25.021160000000002,,,,,,,,,,,3,11091
月母鸡汤全国连锁昆明旗舰店,102.71995,25.0218,,,,,,,,,,,3,14257
金明珠商务会所,102.72057,25.02084,,,,,,,,,,,3,15853
网柜网城网柜店,102.71994000000001,25.021620000000002,,,,,,,,,,,3,15877
明涛保健,102.72046999999999,25.02067,,,,,,,,,,,3,19188
大自然温泉会所,102.72068,25.02165,,,,,,,,,,,3,21655
德尔克啤酒坊,102.72057,25.02084,,,,,,,,,,,3,22122
云南旅游汽车客运站(采莲路),102.722032,25.021670999999998,,,,,,,,,,,1,1077
天宝阁中餐厅,102.7219,25.022299999999998,,,,,,,,,,,3,6954
佳华广场酒店－西餐厅,102.7219,25.022299999999998,,,,,,,,,,,3,6955
春临天下海鲜菜馆,102.7219,25.022299999999998,,,,,,,,,,,3,10324
佳华香港美发中心,102.7219,25.022299999999998,,,,,,,,,,,3,18198
何日君足疗,102.7218,25.02166,,,,,,,,,,,3,19747
恒美廊,102.72288,25.021620000000002,,,,,,,,,,,3,20054
佳华天池洗浴中心,102.7219,25.022299999999998,,,,,,,,,,,3,22028
健之佳健康药房NO．219,102.72149499999999,25.021438,,,,,,,,,,,3,24544
红塔大厦,102.7219,25.022299999999998,,,,,,,,,,,3,28490
越南驻中国昆明总领事馆,102.721915,25.021776,,,,,,,,,,,3,30067
农业银行云南省分行干部培训中心,102.722073,25.021559,,,,,,,,,,,3,30582
中国农业银行永安路支行,102.72229,25.02168,,,,,,,,,,,3,33325
中国出口信用保险云南分公司,102.7219,25.022299999999998,,,,,,,,,,,3,33415
天宝阁中餐厅,102.7219,25.0221,,,,,,,,,,,3,36743
佳华广场酒店－西餐厅,102.7219,25.0221,,,,,,,,,,,3,36744
春临天下海鲜菜馆,102.7219,25.0221,,,,,,,,,,,3,40113
佳华香港美发中心,102.7219,25.0221,,,,,,,,,,,3,47987
何日君足疗,102.7218,25.02146,,,,,,,,,,,3,49536
恒美廊,102.72288,25.021420000000003,,,,,,,,,,,3,49843
佳华天池洗浴中心,102.7219,25.0221,,,,,,,,,,,3,51817
健之佳健康药房NO．219,102.72149499999999,25.021238,,,,,,,,,,,3,54333
红塔大厦,102.7219,25.0221,,,,,,,,,,,3,58279
越南驻中国昆明总领事馆,102.721915,25.021576,,,,,,,,,,,3,59856
农业银行云南省分行干部培训中心,102.722073,25.021359,,,,,,,,,,,3,60371
中国农业银行永安路支行,102.72229,25.02148,,,,,,,,,,,3,63114
中国出口信用保险云南分公司,102.7219,25.0221,,,,,,,,,,,3,63204
云南旅游汽车客运站(采莲路),102.722032,25.021870999999997,,,,,,,,,,,1,65298
嘀嗒太空舱青年客栈,102.72015,25.021620000000002,,,,,,,,,,,3,26813
云南联贸大厦,102.72051,25.02185,,,,,,,,,,,3,28610
中国工商银行昆明火车站支行,102.72140999999999,25.02081,,,,,,,,,,,3,33203
昆明小锅米线,102.71993,25.02166,,,,,,,,,,,3,35459
蒸菜馆,102.71994000000001,25.021720000000002,,,,,,,,,,,3,35673
慵懒时光茶餐,102.72091999999999,25.02169,,,,,,,,,,,3,38089
昆明锦江大酒店－旋宫自助餐厅,102.72057,25.02064,,,,,,,,,,,3,38480
福照楼锦江分店,102.72062,25.020960000000002,,,,,,,,,,,3,40880
月母鸡汤全国连锁昆明旗舰店,102.71995,25.0216,,,,,,,,,,,3,44046
金明珠商务会所,102.72057,25.02064,,,,,,,,,,,3,45642
网柜网城网柜店,102.71994000000001,25.021420000000003,,,,,,,,,,,3,45666
大自然温泉会所,102.72068,25.02145,,,,,,,,,,,3,51444
德尔克啤酒坊,102.72057,25.02064,,,,,,,,,,,3,51911
嘀嗒太空舱青年客栈,102.72015,25.021420000000003,,,,,,,,,,,3,56602
云南联贸大厦,102.72051,25.02165,,,,,,,,,,,3,58399
伊回园(采莲路),102.720823,25.021576999999997,,,,,,,,,,,1,65601
老滇过桥米线,102.72095920000001,25.02159054,,,,,,,,,,,1,66942
红叶日本料理,102.7206874,25.02073708,,,,,,,,,,,1,67934
