name,longitude,latitude,phone,address,district,city,area,zipcodetype,datatype,date,creator,source,index
临云酒店,102.89009,25.0477,,,,,,,,,,,3,27677
芙蓉湾休闲会所,102.89039,25.04862,,,,,,,,,,,3,18939
福大斯假日酒店,102.89116999999999,25.04874,,,,,,,,,,,3,26765
鸭味飘香坊,102.88909,25.048379999999998,,,,,,,,,,,3,14312
贵州食府,102.88793000000001,25.04795,,,,,,,,,,,3,10037
人民公社,102.88691,25.0478,,,,,,,,,,,3,5227
永昭园肚子鸡,102.88645,25.04789,,,,,,,,,,,3,6050
小禾苗农家菜,102.88731999999999,25.04786,,,,,,,,,,,3,6473
伊香园,102.88682,25.04806,,,,,,,,,,,3,7402
天元驴肉香,102.88667,25.047829999999998,,,,,,,,,,,3,7506
宣威私房菜,102.88624,25.048289999999998,,,,,,,,,,,3,8974
沈家小厨,102.88773,25.04792,,,,,,,,,,,3,9809
昭通大山包凉爽鹅糊辣鱼庄,102.88762,25.04816,,,,,,,,,,,3,10248
勐海烤鸡酒楼夜食城,102.88709,25.04808,,,,,,,,,,,3,13413
回味小楼家乡菜,102.88662,25.04812,,,,,,,,,,,3,13636
野山药火腿鸡风干腊排骨火锅城,102.88623,25.04796,,,,,,,,,,,3,15645
佳信明珠大酒店,102.88778,25.04818,,,,,,,,,,,3,26256
鸿福宾馆,102.88723,25.04812,,,,,,,,,,,3,26638
清龙酒店,102.88723,25.04812,,,,,,,,,,,3,26769
黄昏后快捷酒店,102.88729000000001,25.04815,,,,,,,,,,,3,27747
人民公社,102.88691,25.0476,,,,,,,,,,,3,35016
永昭园肚子鸡,102.88645,25.04769,,,,,,,,,,,3,35839
小禾苗农家菜,102.88731999999999,25.04766,,,,,,,,,,,3,36262
伊香园,102.88682,25.04786,,,,,,,,,,,3,37191
天元驴肉香,102.88667,25.047629999999998,,,,,,,,,,,3,37295
宣威私房菜,102.88624,25.04809,,,,,,,,,,,3,38763
沈家小厨,102.88773,25.04772,,,,,,,,,,,3,39598
昭通大山包凉爽鹅糊辣鱼庄,102.88762,25.04796,,,,,,,,,,,3,40037
鼎香鱼府,102.88606999999999,25.04821,,,,,,,,,,,3,40918
勐海烤鸡酒楼夜食城,102.88709,25.04788,,,,,,,,,,,3,43202
回味小楼家乡菜,102.88662,25.04792,,,,,,,,,,,3,43425
野山药火腿鸡风干腊排骨火锅城,102.88623,25.04776,,,,,,,,,,,3,45434
佳信明珠大酒店,102.88778,25.04798,,,,,,,,,,,3,56045
鸿福宾馆,102.88723,25.04792,,,,,,,,,,,3,56427
清龙酒店,102.88723,25.04792,,,,,,,,,,,3,56558
黄昏后快捷酒店,102.88729000000001,25.04795,,,,,,,,,,,3,57536
梦幻美容美发足疗中心,102.88863,25.04804,,,,,,,,,,,3,15952
昆明云桥医院,102.888375,25.048292999999997,,,,,,,,,,,3,24409
贵州食府,102.88793000000001,25.04775,,,,,,,,,,,3,39826
梦幻美容美发足疗中心,102.88863,25.04784,,,,,,,,,,,3,45741
昆明云桥医院,102.888375,25.048092999999998,,,,,,,,,,,3,54198
文诚大酒店,102.8889,25.04813,,,,,,,,,,,3,57537
恒福宾馆,102.88961,25.04818,,,,,,,,,,,3,26882
文诚大酒店,102.8889,25.04833,,,,,,,,,,,3,27748
鸭味飘香坊,102.88909,25.04818,,,,,,,,,,,3,44101
恒福宾馆,102.88961,25.04798,,,,,,,,,,,3,56671
芙蓉湾休闲会所,102.89039,25.04842,,,,,,,,,,,3,48728
福大斯假日酒店,102.89116999999999,25.04854,,,,,,,,,,,3,56554
临云酒店,102.89009,25.0475,,,,,,,,,,,3,57466
