中国移动通信集团云南有限公司,102.739372,25.036488,1,850
中国移动昆明东华服务厅,102.740517,25.046904,1,851
中国移动广福指定专营店,102.701629,24.990706,1,852
中国移动关上营业厅,102.752434,25.016137,1,853
中国移动高新区营业厅,102.669142,25.071962,1,854
中国移动东站营业厅,102.744376,25.03575,1,855
中国移动(雨龙路),102.760577,25.014218,1,856
中国医学科学院医学生物学研究所,102.677923,25.05484,1,857
中国烟草总公司云南省公司,102.727803,25.039604,1,858
中国信合金刀营分社,102.735905,25.087591,1,859
中国信合(长水分理处),102.979933,25.129704,1,860
中国水电顾问集团昆明勘测设计研究院卫生所,102.73172,25.048092,1,861
中国人民武装警察部队云南总队,102.70665,25.070746,1,862
中国人民解放军昆明陆军学院,102.792107,25.009095,1,863
中国人民财产保险股份有限公司云南省分公司,102.733441,25.025328,1,864
中国农业银行云南省分行(人民东路),102.725017,25.048493,1,865
中国农业银行昆明市小板桥支行ATM,102.778485,24.985353,1,866
中国农业银行昆明市滇池路支行,102.709988,25.02931,1,867
中国农业银行昆明海源北路支行,102.666926,25.07632,1,868
中国农业银行(大板桥镇西南),102.884692,25.051157,1,869
中国南方电网云南电网昆明供电局,102.730464,25.039598,1,870
中国南方电网云南电网公司,102.732376,25.03959,1,871
中国民生银行昆明分行,102.72618,25.030857,1,872
中国联通(丽江路),102.717189,25.070299,1,873
中国联通(官渡区六甲盘龙卫生所东,102.72138,24.97943,1,874
中国昆明斗南花卉市场,102.789257,24.903005,1,875
中国科学院云南天文台,102.796613,25.027763,1,876
中国科学院西双版纳热带植物园昆明分部住宅区,102.711722,25.070128,1,877
中国科学院昆明植物研究所,102.751007,25.140939,1,879
中国科学院昆明分院,102.721134,25.041763,1,880
中国建筑陶瓷馆昆明分馆,102.717911,24.989582,1,883
中国建设银行云南省分行营业部,102.719677,25.039906,1,884
中国建设银行昆明金碧路支行,102.70968,25.039404,1,885
中国建设银行昆明广福路支行,102.700801,24.988833,1,886
中国建设银行锦苑花园分理处,102.728161,25.008681,1,888
中国建设银行东聚分理处,102.760073,24.995508,1,889
中国建设银行滇池国家旅游度假区支行,102.668223,24.990828,1,890
中国建设银行(黄金海岸别墅西南),102.662122,24.974823,1,891
中国会名豪娱乐专属,102.703514,25.051647,1,892
中国哈哈汤包王,102.699543,25.069586,1,893
中国光大银行西园路支行,102.690244,25.036368,1,894
中国光大银行昆明红云支行,102.733638,25.108281,1,895
中国光大银行昆明分行,102.720411,25.048719,1,896
中国光大银行城西支行,102.708279,25.046885,1,897
中国馆三号门,102.767485,25.080241,1,898
中国工商银行云南省分行,102.723282,25.041821,1,900
中国工商银行新闻路储蓄所,102.697601,25.041775,1,901
中国工商银行昆明新螺蛳湾第一支行,102.784045,24.9408,1,902
