name,longitude,latitude,phone,address,district,city,area,zipcodetype,datatype,date,creator,source,index
昆明市第三人民医院,102.736091,25.029369,,,,,,,,,,,1,3049
合金公寓,102.73518,25.029106,,,,,,,,,,,1,3776
绿洲花园,102.7358677,25.0304483,,,,,,,,,,,2,281
老建水烧烤,102.735028,25.030676,,,,,,,,,,,1,2708
心香随,102.73588000000001,25.03026,,,,,,,,,,,3,6193
心香随,102.73588000000001,25.03006,,,,,,,,,,,3,9503
云闽小吃,102.73506,25.030479999999997,,,,,,,,,,,3,13556
香满园铜锅洋芋饭,102.73586,25.03006,,,,,,,,,,,3,14615
酒城串串火锅,102.73501,25.0305,,,,,,,,,,,3,17862
东站溜冰场,102.73598,25.029989999999998,,,,,,,,,,,3,25513
一心堂昆明东站连锁店,102.73650500000001,25.029778,,,,,,,,,,,3,28196
康复医学门诊部,102.735569,25.030186999999998,,,,,,,,,,,3,28651
昆明市公安局官渡分局吴井派出所,102.736062,25.029944,,,,,,,,,,,3,32531
招商银行ATM,102.73541999999999,25.030920000000002,,,,,,,,,,,3,36509
绿洲花园,102.7358677,25.0306483,,,,,,,,,,,2,38023
东站烧烤夜市,102.73631,25.02869,,,,,,,,,,,3,13838
开远土鸡米线,102.73662,25.02886,,,,,,,,,,,3,14028
东煌酒店－贵宾楼餐厅,102.73615,25.02949,,,,,,,,,,,3,17647
宣威年猪饭,102.73678000000001,25.02947,,,,,,,,,,,3,17806
心景温泉花园酒店,102.737273,25.030348999999998,,,,,,,,,,,1,1603
美树星城A座,102.737774,25.030424,,,,,,,,,,,1,2518
清溪养生堂,102.73818,25.03021,,,,,,,,,,,3,6490
清溪养生堂,102.73818,25.03001,,,,,,,,,,,3,9800
憨锅铺,102.73753,25.03119,,,,,,,,,,,3,13553
五味轩草墩苑,102.7376,25.02967,,,,,,,,,,,3,16632
成都担担面,102.73727,25.03086,,,,,,,,,,,3,17734
海谊网络,102.73682,25.03089,,,,,,,,,,,3,23880
金汁河带状公园,102.73808000000001,25.0303,,,,,,,,,,,3,24622
福银宾馆,102.73753,25.0301,,,,,,,,,,,3,30600
铭春酒店东站店,102.73655,25.02976,,,,,,,,,,,3,30617
