name,longitude,latitude,phone,address,district,city,area,zipcodetype,datatype,date,creator,source,index
红发园,102.64497,25.038439999999998,,,,,,,,,,,3,12662
正宗富源酸菜土猪脚火锅沙地村NO．18,102.64412,25.03894,,,,,,,,,,,3,7378
正宗富源酸菜土猪脚火锅沙地村NO．18,102.64412,25.03874,,,,,,,,,,,3,10688
阿根人家,102.64454,25.03828,,,,,,,,,,,3,13108
志明美发园,102.64477,25.0385,,,,,,,,,,,3,21762
顺风阁招待所,102.64479,25.0395,,,,,,,,,,,3,29929
佳利农家园,102.64587,25.03799,,,,,,,,,,,3,5796
马街摩尔城,102.647267,25.037896,,,,,,,,,,,2,282
芳呈海鲜酒楼,102.64754,25.03707,,,,,,,,,,,3,7032
杨记正宗富源酸菜猪脚火锅沙地村NO．7,102.64645,25.03775,,,,,,,,,,,3,7234
杨记正宗富源酸菜猪脚火锅沙地村NO．7,102.64645,25.03755,,,,,,,,,,,3,10544
双双缘肚子鸡火锅NO．4,102.64665,25.03773,,,,,,,,,,,3,12138
禄劝雪山羊肉馆,102.64714000000001,25.03722,,,,,,,,,,,3,12139
缪四煮品店,102.64695999999999,25.037329999999997,,,,,,,,,,,3,12845
大众农家菜,102.64645,25.03782,,,,,,,,,,,3,13611
蓉和草墩园饭店,102.64633,25.03761,,,,,,,,,,,3,14212
秀妃美容护肤中心西区店,102.64674000000001,25.037689999999998,,,,,,,,,,,3,23613
丰成药业,102.646884,25.037343,,,,,,,,,,,3,26525
西山区郭宏林诊所,102.647729,25.037973,,,,,,,,,,,3,26750
一心堂西城枫景小区连锁店,102.64789499999999,25.037463,,,,,,,,,,,3,28333
中国工商银行昆明马街支行,102.64814,25.03758,,,,,,,,,,,3,36533
马街摩尔城,102.647267,25.038096,,,,,,,,,,,2,38024
佳利农家园,102.64587,25.03779,,,,,,,,,,,3,9106
大理弥渡饭店,102.64505,25.0381,,,,,,,,,,,3,14830
麒麟发型造型,102.64519,25.038339999999998,,,,,,,,,,,3,21947
润林旅社,102.6451,25.038079999999997,,,,,,,,,,,3,29976
