name,longitude,latitude,phone,address,district,city,area,zipcodetype,datatype,date,creator,source,index
农业银行云南省分行干部培训中心,102.722073,25.021359,,,,,,,,,,,3,9683
康辉旅行社,102.7231064,25.02116013,,,,,,,,,,,2,3595
中国农业银行永安路支行,102.72229,25.02148,,,,,,,,,,,3,13336
中国农业银行ATM,102.72237,25.02148,,,,,,,,,,,3,14170
交通银行ATM,102.72291,25.02122,,,,,,,,,,,3,14241
云南大酒店,102.72438,25.02153,,,,,,,,,,,2,3578
云天足疗保健中心,102.72438,25.02153,,,,,,,,,,,2,3591
河口瑶族自治县政府驻昆明办事处,102.724447,25.021357,,,,,,,,,,,3,6297
永兴源小吃店,102.72426,25.02138,,,,,,,,,,,3,22213
云南大酒店－餐厅,102.72445,25.02136,,,,,,,,,,,3,24703
福建海鲜小炒,102.72368,25.02094,,,,,,,,,,,3,26922
 ,102.7238983,25.02079772,,,,,,,,,,,3,29792
 ,102.7243346,25.02201528,,,,,,,,,,,3,32859
昌元酒楼,102.72303,25.02232,,,,,,,,,,,2,3546
好日子,102.72406,25.02314,,,,,,,,,,,2,3540
鹿海空,102.72351,25.02263,,,,,,,,,,,2,3549
金马碧鸡坊,102.72382,25.02273,,,,,,,,,,,2,3552
华美英语幼儿园,102.72406,25.022243,,,,,,,,,,,3,9454
金源小吃,102.72401,25.02305,,,,,,,,,,,3,16797
湛江雷州海鲜城,102.72409,25.02305,,,,,,,,,,,3,18006
农家大院,102.72387,25.0228,,,,,,,,,,,3,18116
遵义豆花面家常菜,102.72326,25.02275,,,,,,,,,,,3,18210
岩康烤鸡 环城南路店,102.72413,25.02424,,,,,,,,,,,2,3506
鑫都韵城,102.72525,25.024565,,,,,,,,,,,1,157
我不说休闲吧,102.72523,25.02526,,,,,,,,,,,2,3519
云南协和医院(环城南路),102.72447,25.02425,,,,,,,,,,,2,3521
威仕德幼儿园,102.725699,25.024507,,,,,,,,,,,3,10452
中国建设银行昆明和平支行,102.72485,25.02423,,,,,,,,,,,3,15132
交通银行ATM,102.72567,25.0239,,,,,,,,,,,3,15408
中国建设银行ATM,102.72479,25.02423,,,,,,,,,,,3,15751
杭州小笼包,102.72438,25.0246,,,,,,,,,,,3,27106
润丰祥小锅,102.72566,25.02382,,,,,,,,,,,3,28251
兴杰小游园,102.72598,25.02475,,,,,,,,,,,3,51939
云南协和医院－急诊科,102.724418,25.024225,,,,,,,,,,,3,60498
昆明爱尔眼科医院,102.725088,25.024188,,,,,,,,,,,3,60836
云南协和医院,102.724491,25.024223000000003,,,,,,,,,,,3,63321
重庆渝邻特色火锅,102.72417,25.02382,,,,,,,,,,,3,19730
岩康烤鸡昆明总店,102.72413,25.02368,,,,,,,,,,,3,20409
川王面庄,102.72423,25.02407,,,,,,,,,,,3,22505
 ,102.7243219,25.02400923,,,,,,,,,,,3,29571
 ,102.7241591,25.02492939,,,,,,,,,,,3,36771
 ,102.7241471,25.02499437,,,,,,,,,,,3,42879
乾威男性养生会所,102.72385,25.023770000000003,,,,,,,,,,,3,56709
袁吉中口腔,102.723988,25.024586,,,,,,,,,,,3,60567
金诃藏药馆旗航店,102.723776,25.02421,,,,,,,,,,,3,61293
