name,longitude,latitude,phone,address,district,city,area,zipcodetype,datatype,date,creator,source,index
富源酸菜猪脚NO．1,102.69573,25.00513,,,,,,,,,,,3,27960
正宗会泽砂锅黑山羊,102.69474,25.00493,,,,,,,,,,,3,20076
新建园小吃,102.69501,25.00537,,,,,,,,,,,3,25743
团结乡白族农家菜,102.69482,25.00555,,,,,,,,,,,3,28688
魅力无限烫染造型,102.69485999999999,25.005370000000003,,,,,,,,,,,3,55390
创美廊精剪造型,102.69474,25.00515,,,,,,,,,,,3,59509
西山区康馨诊所,102.694478,25.00517,,,,,,,,,,,3,60277
西山区训强诊所,102.695296,25.004996,,,,,,,,,,,3,60503
西山区明珠诊所,102.694914,25.005149,,,,,,,,,,,3,60556
益康药品经营部,102.69483199999999,25.00515,,,,,,,,,,,3,63305
会新招待所,102.69412,25.005010000000002,,,,,,,,,,,3,66173
忆缘旅舍,102.69476999999999,25.00515,,,,,,,,,,,3,66273
佳星招待所,102.69504,25.00536,,,,,,,,,,,3,67251
恒源招待所,102.6948,25.00515,,,,,,,,,,,3,67257
旺阳招待所,102.69443000000001,25.00517,,,,,,,,,,,3,67384
爱贝儿幼儿园,102.696767,25.005095,,,,,,,,,,,3,12521
无敌炒螃蟹,102.69708,25.00543,,,,,,,,,,,3,17550
锦华苑,102.69818,25.00499,,,,,,,,,,,2,4198
锦华苑(北门),102.69818,25.00498,,,,,,,,,,,2,4208
恒大云报华府,102.699154,25.005319,,,,,,,,,,,1,931
云铜时代年华小区公交站,102.69997,25.00522,,,,,,,,,,,2,4210
洁尚公寓,102.69879,25.00496,,,,,,,,,,,2,4213
农村信用社马家营分社,102.69927,25.00491,,,,,,,,,,,3,15188
云南省农村信用社ATM,102.6992,25.00486,,,,,,,,,,,3,15189
香穆村明炉牛肉火锅,102.69962,25.0052,,,,,,,,,,,3,25039
金洲天然温泉桑拿,102.69941999999999,25.005129999999998,,,,,,,,,,,3,56337
酷网网城,102.69948000000001,25.00512,,,,,,,,,,,3,56530
金点造型,102.69994,25.00536,,,,,,,,,,,3,56712
西山区邹志英诊所,102.698358,25.005106,,,,,,,,,,,3,60265
西山区广达诊所,102.699286,25.004942,,,,,,,,,,,3,60266
西山区康贝诊所,102.698484,25.005095999999998,,,,,,,,,,,3,60631
健之佳健康药房NO．091,102.700009,25.005403,,,,,,,,,,,3,60995
福春堂大药房,102.698964,25.004580999999998,,,,,,,,,,,3,61048
西山区黎元诊所,102.69892,25.004458,,,,,,,,,,,3,63006
西山区前卫官庄卫生所,102.700058,25.005418,,,,,,,,,,,3,63069
东骏大药房桔尚连锁店,102.69924499999999,25.004975,,,,,,,,,,,3,63306
西山区妇幼保健中心,102.69879,25.005101,,,,,,,,,,,3,64276
一心堂南华小区连锁店,102.699777,25.005252,,,,,,,,,,,3,64786
招商银行ATM,102.69813,25.00509,,,,,,,,,,,3,14809
老麻抄手,102.69781,25.00542,,,,,,,,,,,3,17549
沙县小吃,102.69802,25.00541,,,,,,,,,,,3,19574
个旧团山国莲带皮小黄牛米线馆,102.69788,25.00543,,,,,,,,,,,3,22165
临桥园建水土鸡米线南华小区店,102.69775,25.0054,,,,,,,,,,,3,23706
老昆明正宗小锅米线,102.69795,25.00541,,,,,,,,,,,3,24319
闽记鑫钰贵州羊肉米线南华NO．3,102.69809,25.00543,,,,,,,,,,,3,24573
灰指甲NO．698,102.69724000000001,25.00515,,,,,,,,,,,3,54485
永胜造型,102.69755,25.00514,,,,,,,,,,,3,58151
福林堂锦华苑国药店,102.697629,25.005139,,,,,,,,,,,3,61070
月宝贝烫染中心,102.69592,25.00512,,,,,,,,,,,3,57575
西山区人民医院海华社区卫生站,102.696697,25.005049,,,,,,,,,,,3,64181
怡心招待所,102.696,25.0051,,,,,,,,,,,3,66796
