name,longitude,latitude,phone,address,district,city,area,zipcodetype,datatype,date,creator,source,index
 ,102.7256603,25.06883364,,,,,,,,,,,3,32540
金康园小学（二部）,102.72494,25.068201,,,,,,,,,,,3,10351
 ,102.7252055,25.06830242,,,,,,,,,,,3,31686
 ,102.7255397,25.06855689,,,,,,,,,,,3,33209
 ,102.7254629,25.06825805,,,,,,,,,,,3,33790
 ,102.7249081,25.06786691,,,,,,,,,,,3,35873
 ,102.7250737,25.06787267,,,,,,,,,,,3,37314
 ,102.7249819,25.06784783,,,,,,,,,,,3,37355
 ,102.7247254,25.06831907,,,,,,,,,,,3,37711
 ,102.7256474,25.06878864,,,,,,,,,,,3,40315
 ,102.7250597,25.0682346,,,,,,,,,,,3,42899
金星小区21号庭院,102.7264955,25.06815728,,,,,,,,,,,2,5100
大维饮品,102.72697,25.06843,,,,,,,,,,,3,20680
 ,102.7261487,25.06797716,,,,,,,,,,,3,34767
 ,102.7270897,25.06768286,,,,,,,,,,,3,34924
 ,102.7273073,25.06804146,,,,,,,,,,,3,36506
 ,102.7265938,25.06780953,,,,,,,,,,,3,39142
 ,102.7257145,25.06808772,,,,,,,,,,,3,43508
 ,102.72700490000001,25.06755101,,,,,,,,,,,3,44418
 ,102.7258702,25.06804952,,,,,,,,,,,3,44708
金星小区,102.727898,25.0688,,,,,,,,,,,2,5048
老东粥皇茶餐厅 金星小区店,102.72756,25.06847,,,,,,,,,,,2,5108
昆明国轩艺术培训学校,102.728773,25.068596,,,,,,,,,,,3,11572
云南省农村信用社ATM,102.72763,25.06851,,,,,,,,,,,3,13679
金洲湾蓝屿A区,102.7266097,25.06934448,,,,,,,,,,,1,528
昆明市盘龙区金星小学,102.726449,25.06853,,,,,,,,,,,3,9979
金星社区千蓓贝幼儿园,102.726857,25.069951,,,,,,,,,,,3,11212
昆明欧迪斯外语学校北市区分校,102.725969,25.069331,,,,,,,,,,,3,11365
亿家小吃金星店,102.72686,25.06995,,,,,,,,,,,3,17436
