name,longitude,latitude,phone,address,district,city,area,zipcodetype,datatype,date,creator,source,index
 ,102.7592462,25.00361109,,,,,,,,,,,3,45138
福建沙县特色小吃,102.7595,25.00261,,,,,,,,,,,3,20173
昆明官渡农村合作银行吴井支行关雨分理处,102.75997,25.00178,,,,,,,,,,,3,15567
昆明官渡农村合作银行ATM,102.76,25.00175,,,,,,,,,,,3,15942
川味轩,102.75999,25.00226,,,,,,,,,,,3,16880
中国邮政储蓄银行ATM,102.76079,25.00055,,,,,,,,,,,3,13347
中国邮政储蓄银行关雨路支行,102.76084,25.00051,,,,,,,,,,,3,15887
金色摇篮幼儿园,102.760276,24.999313,,,,,,,,,,,3,12707
关雨路加油站,102.760226,25.00014,,,,,,,,,,,3,16621
 ,102.7600702,24.99952797,,,,,,,,,,,3,34340
 ,102.7597243,24.99880802,,,,,,,,,,,3,37295
 ,102.76025809999999,24.99846215,,,,,,,,,,,3,38931
 ,102.7599203,24.998516100000003,,,,,,,,,,,3,38985
 ,102.7597504,24.99875303,,,,,,,,,,,3,39536
 ,102.7597954,24.99868904,,,,,,,,,,,3,40428
张记论鱼轩火锅(雨龙路),102.76157,24.99918,,,,,,,,,,,2,1399
方亚电脑培训,102.761517,24.99939,,,,,,,,,,,3,11213
西山顺通驾驶培训学校,102.761517,24.99939,,,,,,,,,,,3,11723
聚源阁农家菜,102.76165,24.99917,,,,,,,,,,,3,20782
张记论鱼轩火锅,102.76158,24.99927,,,,,,,,,,,3,22362
 ,102.7613498,24.99989121,,,,,,,,,,,3,36149
 ,102.7614087,24.99929217,,,,,,,,,,,3,37784
 ,102.76092290000001,24.99963611,,,,,,,,,,,3,42297
 ,102.7613498,24.99989121,,,,,,,,,,,3,46269
美月乐歌舞厅,102.76171,24.99999,,,,,,,,,,,3,52564
飞狐网络,102.76171,24.99999,,,,,,,,,,,3,58787
 ,102.7595984,24.9994809,,,,,,,,,,,3,43547
 ,102.7599073,24.99853608,,,,,,,,,,,3,44598
 ,102.75984229999999,24.99864507,,,,,,,,,,,3,46216
 ,102.75931640000002,24.99943689,,,,,,,,,,,3,46524
 ,102.7598553,24.99861708,,,,,,,,,,,3,48221
 ,102.7598904,24.99856808,,,,,,,,,,,3,49947
成都担担面NO．3,102.76043,25.00106,,,,,,,,,,,3,16950
乡肴骨头菜馆,102.76098,25.00035,,,,,,,,,,,3,20673
正宗蒙自砂锅过桥米线,102.75958,25.00247,,,,,,,,,,,3,20998
张记私房菜,102.75984,25.00244,,,,,,,,,,,3,21443
 ,102.7598587,25.00262213,,,,,,,,,,,3,33535
明秀楼KTV,102.75968,25.00235,,,,,,,,,,,3,52662
明秀楼温泉浴场,102.75968,25.00235,,,,,,,,,,,3,52805
明秀楼娱乐会所,102.75968,25.00235,,,,,,,,,,,3,55335
美客造型,102.76047,25.00253,,,,,,,,,,,3,55566
标榜发艺,102.75973,25.00238,,,,,,,,,,,3,55781
趣·尚网络会所米诺店,102.75949,25.001929999999998,,,,,,,,,,,3,57689
一心堂昆明雨龙路连锁店,102.760133,25.00163,,,,,,,,,,,3,61188
官渡区关雨社区卫生中心,102.76029100000001,25.001443,,,,,,,,,,,3,62349
重庆顺风牛肉面,102.76083,25.00338,,,,,,,,,,,3,19737
开心饮吧,102.76059,25.00306,,,,,,,,,,,3,20266
聚黔源铜锅洋芋饭,102.76043,25.00284,,,,,,,,,,,3,20267
 ,102.759307,25.00264004,,,,,,,,,,,3,32385
 ,102.75957,25.00311609,,,,,,,,,,,3,35562
温馨足疗会所,102.75927,25.00303,,,,,,,,,,,3,57433
明秀快捷酒店,102.75946,25.002670000000002,,,,,,,,,,,3,65807
葆颜阁美容坊,102.75958,25.0042,,,,,,,,,,,3,57812
杰美溜冰场,102.75978,25.00413,,,,,,,,,,,3,59447
明艳诊所,102.75936300000001,25.003825,,,,,,,,,,,3,63613
