name,longitude,latitude,phone,address,district,city,area,zipcodetype,datatype,date,creator,source,index
沙县小吃星体园店,102.76165,24.93866,,,,,,,,,,,3,17160
水城老牌牛羊肉米线馆星体花园分店,102.76101,24.93945,,,,,,,,,,,3,16834
湘味你知私房菜,102.76156,24.93872,,,,,,,,,,,3,17221
建水老牌烧烤鸡脚王,102.76147,24.93881,,,,,,,,,,,3,20938
开远土鸡米线,102.76119,24.93931,,,,,,,,,,,3,23058
天成教育集团星耀天成学校,102.76265,24.939508,,,,,,,,,,,3,12432
地球村幼儿园星体园,102.763044,24.940844,,,,,,,,,,,3,11936
中国光大银行ATM,102.76286,24.94011,,,,,,,,,,,3,13685
中国光大银行,102.76288,24.94017,,,,,,,,,,,3,15406
康盛电器城,102.76404,24.94139,,,,,,,,,,,2,1989
昆明官渡农村合作银行矣六支行宏仁分理处,102.76481,24.94091,,,,,,,,,,,3,13621
拽牛肉火锅星体店,102.76324,24.94168,,,,,,,,,,,3,26934
 ,102.7644898,24.94105371,,,,,,,,,,,3,31573
 ,102.7638689,24.94170167,,,,,,,,,,,3,34955
 ,102.7648577,24.94167674,,,,,,,,,,,3,36813
 ,102.76408690000001,24.94141965,,,,,,,,,,,3,44745
 ,102.7648917,24.94164375,,,,,,,,,,,3,46466
 ,102.7634872,24.941024600000002,,,,,,,,,,,3,48243
矣六螺蛳湾社区卫生站,102.762777,24.940009,,,,,,,,,,,3,61143
公共卫生部,102.762776,24.940104,,,,,,,,,,,3,63575
平安银行ATM,102.76243,24.93967,,,,,,,,,,,3,15208
中国民生银行ATM,102.76217,24.93937,,,,,,,,,,,3,15842
大理白族风味小吃,102.76185,24.93942,,,,,,,,,,,3,24685
腾冲特色饵丝店,102.76209,24.93939,,,,,,,,,,,3,28477
耀郦美容美体护肤中心,102.7619,24.93967,,,,,,,,,,,3,53119
诗美诗格6＋1化妆品·美容馆,102.76250999999999,24.93969,,,,,,,,,,,3,54648
辉煌美发会所,102.76225,24.93939,,,,,,,,,,,3,55955
一心堂星体花园小区连锁店,102.761764,24.939467,,,,,,,,,,,3,64571
官渡杨记小锅米线,102.76158,24.93906,,,,,,,,,,,3,25967
贵州凯里酸汤火锅,102.76142,24.93886,,,,,,,,,,,3,26766
福建好运来小吃,102.76143,24.93882,,,,,,,,,,,3,27804
盛艺,102.7613,24.939510000000002,,,,,,,,,,,3,52696
御威足疗总店,102.76123,24.93956,,,,,,,,,,,3,55405
润足足疗,102.7608,24.93992,,,,,,,,,,,3,56321
小伍美发屋品牌加盟店,102.76047,24.93874,,,,,,,,,,,3,57050
名艺美发沙龙,102.76109,24.93939,,,,,,,,,,,3,57394
新形象发型设计中心,102.76114,24.93935,,,,,,,,,,,3,57395
健之佳健康药房,102.761016,24.939063,,,,,,,,,,,3,61271
东骏大药房星体花园连锁店,102.761517,24.939292000000002,,,,,,,,,,,3,61272
晓农园农家菜,102.76187,24.93885,,,,,,,,,,,3,22646
官渡李记小锅米线,102.76197,24.93881,,,,,,,,,,,3,23964
金苹金果减肥美容连锁结构星体花园NO．47,102.7614,24.93844,,,,,,,,,,,3,52311
ｅ足之韵,102.76168,24.93824,,,,,,,,,,,3,54364
纤手美容美发,102.76133,24.938470000000002,,,,,,,,,,,3,56631
蓝调专业美发沙龙,102.76124,24.93853,,,,,,,,,,,3,57049
卫道义口腔,102.76178900000001,24.938879,,,,,,,,,,,3,61376
