name,longitude,latitude,phone,address,district,city,area,zipcodetype,datatype,date,creator,source,index
湘菜馆,102.72884,25.06233,,,,,,,,,,,3,10520
老昆明风味小吃(小龙路),102.729927,25.061441000000002,,,,,,,,,,,1,2704
金领地大厦,102.7307182,25.06185881,,,,,,,,,,,1,3452
128飘香火锅,102.72954,25.062070000000002,,,,,,,,,,,3,5585
128飘香火锅,102.72954,25.061870000000003,,,,,,,,,,,3,13032
正宗富源酸菜猪脚火锅,102.72964,25.06184,,,,,,,,,,,3,20237
缘宸鑫,102.7293,25.06191,,,,,,,,,,,3,27464
尚宫馆CEO养生会所,102.73033000000001,25.061139999999998,,,,,,,,,,,3,27572
百度形象设计,102.72959,25.06113,,,,,,,,,,,3,29765
一心堂昆明王旗营连锁店,102.729167,25.061668,,,,,,,,,,,3,31689
祺云宾馆,102.72907,25.06148,,,,,,,,,,,3,34161
昆明市公安局小坝派出所,102.729606,25.061579000000002,,,,,,,,,,,3,36530
农村信用社ATM,102.7302,25.0611,,,,,,,,,,,3,40548
昆明北站,102.728197,25.063772,,,,,,,,,,,1,3254
建水朋友烧烤,102.72816999999999,25.06312,,,,,,,,,,,3,5148
建水朋友烧烤,102.72816999999999,25.062920000000002,,,,,,,,,,,3,12595
境界酒吧,102.72847,25.06317,,,,,,,,,,,3,28986
必成客房,102.72910999999999,25.06373,,,,,,,,,,,3,34988
湘菜馆,102.72884,25.06213,,,,,,,,,,,3,17967
老顾客琳琳小吃,102.72792,25.06171,,,,,,,,,,,3,9270
老顾客琳琳小吃,102.72792,25.061510000000002,,,,,,,,,,,3,16717
玫瑰之约美容美体,102.72822,25.06195,,,,,,,,,,,3,23697
至尊养生殿,102.72723,25.06198,,,,,,,,,,,3,26684
苏园,102.72856,25.0615,,,,,,,,,,,3,27049
卓恒时尚造型,102.72778000000001,25.06253,,,,,,,,,,,3,27050
首发美容美发会所,102.72746,25.06192,,,,,,,,,,,3,28808
盘龙建生万宏诊所,102.727417,25.061946,,,,,,,,,,,3,31974
昆明市盘龙区欣诚小学,102.728649,25.061266,,,,,,,,,,,3,39050
国兴艺术沙龙,102.72909,25.06246,,,,,,,,,,,3,24478
